year,departamento,total,temp_prom,emergencias,humedad,predida_bosques,necesidad_insatisfecha,precipitacion,superficie_reforestada
2013,AMAZONAS,247,15.031666666666666,181,87.44500000000001,6682.0,39.02088507286715,900.0999999999999,531.0
2013,ANCASH,454,12.513333333333334,119,76.82333333333334,,15.36763331038196,849.6000000000001,1932.0
2013,AYACUCHO,1,18.201666666666668,125,77.16583333333334,803.0,27.41858334936781,644.1,873.0
2013,CAJAMARCA,85,14.85,111,64.03916666666666,828.0,25.70840296977167,724.1000000000001,731.0
2013,CUSCO,2,12.32583333333333,552,73.75916666666667,3501.0,21.3743128997535,808.6999999999999,488.0
2013,HUANUCO,67,20.686666666666664,149,65.64999999999999,20795.0,26.08439673664083,487.6,509.0
2013,JUNIN,781,12.439166666666663,156,62.02416666666667,8230.0,26.07557229004721,657.1999999999999,200.0
2013,LA LIBERTAD,23,19.317499999999995,46,91.99833333333332,48.0,12.73269916099208,30.5,2112.0
2013,LAMBAYEQUE,25,20.199166666666667,54,82.37166666666666,,14.44758051835662,31.1,58.0
2013,LORETO,4479,27.39083333333333,126,84.96166666666667,28821.0,57.38868927938691,3149.9,
2013,MADRE DE DIOS,2272,26.552222222222216,9,84.84875,12401.0,28.15902991455067,2398.1,
2013,PASCO,56,5.3083333333333345,98,85.57,7623.0,48.93411041348506,1135.5,195.0
2013,PIURA,1976,23.9175,202,74.65791666666667,44.0,28.96197424985417,62.0,275.0
2013,PUNO,2,10.2425,191,64.28833333333334,1165.0,28.43791686280838,704.4,372.0
2013,SAN MARTIN,1208,22.998333333333335,322,82.17,22517.0,41.31839306587678,1427.8,
2013,TUMBES,250,25.07249999999999,60,90.81833333333331,,29.68914054500366,222.0,
2013,UCAYALI,1059,25.58666666666667,52,88.49333333333334,36793.0,51.96729986065868,1929.8,
2014,AMAZONAS,207,14.900833333333331,278,82.86416666666668,5199.0,42.10588284989591,1057.8,625.0
2014,CAJAMARCA,295,15.024166666666666,158,62.82916666666666,1147.0,23.56692927180803,610.8999999999999,1833.0
2014,CUSCO,227,12.519166666666669,373,67.93083333333333,5087.0,17.67944261105662,563.3,609.0
